what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328176949351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328176953142
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328176955420
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1328176955420
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328176955420
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328176984560
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177249667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177260119
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177362735
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.launchShortcut.run",1328177362751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177368851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177373734
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.launchShortcut.run",1328177373765
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1328177374623
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.publish",1328177380032
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177387334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177389398
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1328177389418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177397400
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177398910
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1328177413704
opened,editor,org.apache.geronimo.st.ui,2.1.5,"org.apache.geronimo.ui.editors.WebEditor",1328177414772
activated,editor,org.apache.geronimo.st.ui,2.1.5,"org.apache.geronimo.ui.editors.WebEditor",1328177414987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177421986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177458158
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1328177460049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177462063
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1328177463359
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/p",1328177463362
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177463540
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1328177463558
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328177463558
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177472948
error,log,,,"Could not save master table to file 'C:\\Users\\Arun\\Desktop\\blooddon\\.metadata\\.plugins\\org.eclipse.core.resources\\.safetable\\org.eclipse.core.resources'.",1328177550624
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177639076
activated,editor,org.apache.geronimo.st.ui,2.1.5,"org.apache.geronimo.ui.editors.WebEditor",1328177643138
activated,editor,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.editor",1328177643688
closed,editor,org.apache.geronimo.st.ui,2.1.5,"org.apache.geronimo.ui.editors.WebEditor",1328177643688
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1328177645058
closed,editor,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.editor",1328177645058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177651480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177669862
error,log,,,"Could not save master table to file 'C:\\Users\\Arun\\Desktop\\blooddon\\.metadata\\.plugins\\org.eclipse.core.resources\\.safetable\\org.eclipse.core.resources'.",1328177669881
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177669965
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177672248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177680925
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177787362
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.launchShortcut.run",1328177787386
opened,editor,org.apache.geronimo.st.ui,2.1.5,"org.apache.geronimo.ui.editors.WebEditor",1328177789686
activated,editor,org.apache.geronimo.st.ui,2.1.5,"org.apache.geronimo.ui.editors.WebEditor",1328177789699
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177798082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177799426
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177800453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177805323
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1328177811656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177814996
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177820628
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.launchShortcut.run",1328177820650
activated,editor,org.apache.geronimo.st.ui,2.1.5,"org.apache.geronimo.ui.editors.WebEditor",1328177823806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177836051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177839266
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328177839593
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1328177839803
